country,HDI_index,code
Afghanistan,0.496,AFG
Albania,0.791,ALB
Algeria,0.759,DZA
Angola,0.574,AGO
Antigua and Barbuda,0.776,ATG
Argentina,0.83,ARG
Armenia,0.76,ARM
Australia,0.938,AUS
Austria,0.914,AUT
Azerbaijan,0.754,AZE
Bahamas,0.805,BHS
Bangladesh,0.614,BGD
Belarus,0.817,BLR
Belgium,0.919,BEL
Belize,0.72,BLZ
Benin,0.52,BEN
Bhutan,0.617,BTN
Bolivia (Plurinational State of),0.703,BOL
Bosnia and Herzegovina,0.769,BIH
Botswana,0.728,BWA
Brazil,0.761,BRA
Brunei Darussalam,0.845,BRN
Bulgaria,0.816,BGR
Burkina Faso,0.434,BFA
Burundi,0.423,BDI
Cambodia,0.581,KHM
Cameroon,0.563,CMR
Canada,0.922,CAN
Central African Republic,0.381,CAF
Chad,0.401,TCD
Chile,0.847,CHL
China,0.758,CHN
Colombia,0.761,COL
Congo,0.609,COG
Congo (Democratic Republic of the),0.459,COD
Costa Rica,0.794,CRI
Croatia,0.837,HRV
Cuba,0.778,CUB
Cyprus,0.873,CYP
Czechia,0.891,CZE
Denmark,0.93,DNK
Djibouti,0.495,DJI
Dominican Republic,0.745,DOM
Ecuador,0.758,ECU
Egypt,0.7,EGY
El Salvador,0.667,SLV
Equatorial Guinea,0.588,GNQ
Eritrea,0.434,ERI
Estonia,0.882,EST
Ethiopia,0.47,ETH
Fiji,0.724,FJI
Finland,0.925,FIN
France,0.891,FRA
Gabon,0.702,GAB
Gambia,0.466,GMB
Georgia,0.786,GEO
Germany,0.939,DEU
Ghana,0.596,GHA
Greece,0.872,GRC
Guatemala,0.651,GTM
Guinea,0.466,GIN
Guinea-Bissau,0.461,GNB
Guyana,0.67,GUY
Haiti,0.503,HTI
Honduras,0.623,HND
"Hong Kong, China (SAR)",0.939,HKG
Hungary,0.845,HUN
Iceland,0.938,ISL
India,0.647,IND
Indonesia,0.707,IDN
Iran (Islamic Republic of),0.797,IRN
Iraq,0.689,IRQ
Ireland,0.942,IRL
Israel,0.906,ISR
Italy,0.883,ITA
Jamaica,0.726,JAM
Japan,0.915,JPN
Jordan,0.723,JOR
Kazakhstan,0.817,KAZ
Kenya,0.579,KEN
Korea (Republic of),0.906,KOR
Kuwait,0.808,KWT
Kyrgyzstan,0.674,KGZ
Lao People's Democratic Republic,0.604,LAO
Latvia,0.854,LVA
Lebanon,0.73,LBN
Lesotho,0.518,LSO
Liberia,0.465,LBR
Libya,0.708,LBY
Lithuania,0.869,LTU
Luxembourg,0.909,LUX
Madagascar,0.521,MDG
Malawi,0.485,MWI
Malaysia,0.804,MYS
Mali,0.427,MLI
Mauritania,0.527,MRT
Mexico,0.767,MEX
Moldova (Republic of),0.711,MDA
Mongolia,0.735,MNG
Montenegro,0.816,MNE
Morocco,0.676,MAR
Mozambique,0.446,MOZ
Myanmar,0.584,MMR
Namibia,0.645,NAM
Nepal,0.579,NPL
Netherlands,0.934,NLD
New Zealand,0.921,NZL
Nicaragua,0.651,NIC
Niger,0.377,NER
Nigeria,0.534,NGA
North Macedonia,0.759,MKD
Norway,0.954,NOR
Oman,0.834,OMN
Pakistan,0.56,PAK
"Palestine, State of",0.69,PSE
Panama,0.795,PAN
Papua New Guinea,0.543,PNG
Paraguay,0.724,PRY
Peru,0.759,PER
Philippines,0.712,PHL
Poland,0.872,POL
Portugal,0.85,PRT
Qatar,0.848,QAT
Romania,0.816,ROU
Russian Federation,0.824,RUS
Rwanda,0.536,RWA
Saudi Arabia,0.857,SAU
Senegal,0.514,SEN
Serbia,0.799,SRB
Sierra Leone,0.438,SLE
Singapore,0.935,SGP
Slovakia,0.857,SVK
Slovenia,0.902,SVN
Solomon Islands,0.557,SLB
South Africa,0.705,ZAF
South Sudan,0.413,SDS
Spain,0.893,ESP
Sri Lanka,0.78,LKA
Sudan,0.508,SDN
Suriname,0.724,SUR
Sweden,0.937,SWE
Switzerland,0.946,CHE
Syrian Arab Republic,0.549,SYR
Tajikistan,0.656,TJK
Tanzania (United Republic of),0.528,TZA
Thailand,0.765,THA
Timor-Leste,0.626,TLS
Togo,0.513,TGO
Trinidad and Tobago,0.799,TTO
Tunisia,0.739,TUN
Turkey,0.807,TUR
Turkmenistan,0.71,TKM
Uganda,0.528,UGA
Ukraine,0.75,UKR
United Arab Emirates,0.866,ARE
United Kingdom,0.92,GBR
United States,0.92,USA
Uruguay,0.808,URY
Uzbekistan,0.71,UZB
Vanuatu,0.597,VUT
Venezuela (Bolivarian Republic of),0.726,VEN
Viet Nam,0.693,VNM
Yemen,0.463,YEM
Zambia,0.591,ZMB
Zimbabwe,0.563,ZWE